day_crash,hour_crash,road_type,road_condition,weather_condition,visibility,type_vehicle,gender,age,outcome
1,Night,Asphalt,Dry,Clear,1,car,male,33.14735660700035,0
5,Night,Asphalt,Wet or Damaged,Clear,1,bus,male,41.61730050147861,1
6,Day,Asphalt,Dry,Clear,4,bus,male,41.259730197892274,0
1,Day,Soil,Dry,Unclear,1,car,female,47.49437522903938,0
4,Day,Asphalt,Dry,Unclear,3,car,female,30.207376087681432,0
7,Night,Asphalt,Dry,Clear,1,bus,female,18.0,0
5,Dawn,Soil,Dry,Clear,2,car,female,25.243071944334325,0
7,Night,Asphalt,Dry,Clear,1,bus,male,39.24570546126089,0
1,Day,Asphalt,Dry,Clear,1,motorcycle,female,33.235819320519376,0
6,Night,Asphalt,Dry,Unclear,1,car,male,21.00266547861939,0
1,Day,Asphalt,Wet or Damaged,Clear,1,car,female,45.79365514602828,0
4,Day,Asphalt,Dry,Clear,1,car,male,32.76609554881555,0
3,Night,Soil,Dry,Clear,2,car,male,58.18901374890903,0
3,Night,Soil,Wet or Damaged,Clear,1,car,male,38.33843915750605,0
1,Day,Asphalt,Dry,Clear,1,car,female,19.843874314758654,0
6,Day,Soil,Wet or Damaged,Clear,1,motorcycle,male,53.0048927623436,0
7,Day,Soil,Dry,Clear,1,car,male,22.313086248796974,0
3,Day,Soil,Dry,Unclear,4,bus,female,54.78753125302049,1
1,Day,Soil,Wet or Damaged,Clear,1,car,male,33.66649696329274,0
2,Day,Asphalt,Dry,Clear,3,motorcycle,male,37.7680625917663,0
1,Night,Asphalt,Dry,Clear,3,car,female,42.224221670690035,0
5,Day,Asphalt,Dry,Clear,1,car,male,24.426164155650582,0
1,Day,Asphalt,Dry,Clear,3,car,female,30.748233239032942,0
7,Day,Asphalt,Dry,Clear,3,car,male,27.750713191327492,0
2,Night,Asphalt,Dry,Clear,4,bus,male,36.420759942458346,1
5,Day,Soil,Dry,Unclear,2,bus,male,58.755056117277235,0
2,Day,Asphalt,Dry,Clear,1,truck,male,22.130002758715023,0
1,Day,Asphalt,Wet or Damaged,Clear,1,motorcycle,male,53.88658423275609,0
6,Day,Asphalt,Wet or Damaged,Clear,3,car,female,25.687446048819226,0
4,Night,Soil,Dry,Clear,4,car,male,22.511930325561167,0
4,Day,Soil,Wet or Damaged,Clear,1,car,male,18.0,0
3,Dawn,Asphalt,Dry,Unclear,1,truck,male,39.0182872439237,0
4,Dawn,Asphalt,Dry,Clear,1,bus,male,37.53756226868262,0
2,Night,Asphalt,Wet or Damaged,Unclear,1,car,male,18.878664705583994,1
4,Night,Asphalt,Wet or Damaged,Unclear,3,bus,male,18.0,1
